id,name,fullname,type,is_category,internal_type,external
577,app_post_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\routes.js/CAST_HTML5_JavaScript_SourceCode.exports.app_post_PARAM_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
578,createCustomer_save_PARAM_1,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\routes.js/CAST_HTML5_JavaScript_SourceCode.exports.app_post_PARAM_2.createCustomer_save_PARAM_1,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
579,Customer_findByIdAndUpdate_PARAM_3,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\routes.js/CAST_HTML5_JavaScript_SourceCode.exports.app_put_PARAM_2.Customer_findByIdAndUpdate_PARAM_3,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
580,app_del_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\routes.js/CAST_HTML5_JavaScript_SourceCode.exports.app_del_PARAM_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
581,remove_PARAM_1,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\routes.js/CAST_HTML5_JavaScript_SourceCode.exports.app_del_PARAM_2.remove_PARAM_1,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
582,app_get_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\routes.js/CAST_HTML5_JavaScript_SourceCode.exports.app_get_PARAM_2_3,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
583,exec_PARAM_1,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\routes.js/CAST_HTML5_JavaScript_SourceCode.exports.app_get_PARAM_2_3.exec_PARAM_1,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
584,app_post_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\routes.js/CAST_HTML5_JavaScript_SourceCode.exports.app_post_PARAM_2_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
585,createPurchase_save_PARAM_1,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\routes.js/CAST_HTML5_JavaScript_SourceCode.exports.app_post_PARAM_2_2.createPurchase_save_PARAM_1,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
586,app_get_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\routes.js/CAST_HTML5_JavaScript_SourceCode.exports.app_get_PARAM_2_4,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
587,app_configure_PARAM_1,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\server.js/CAST_HTML5_JavaScript_SourceCode.app_configure_PARAM_1,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
588,app_use_PARAM_1,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\server.js/CAST_HTML5_JavaScript_SourceCode.app_use_PARAM_1,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
589,server.js,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\server.js/CAST_HTML5_JavaScript_SourceCode/INIT,HTML5 JavaScript initialisation,HTML5 JavaScript initialisation,CAST_HTML5_JavaScript_Initialisation,1
592,exports,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\karma.conf.js/CAST_HTML5_JavaScript_SourceCode.exports,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
594,index.html,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public/CAST_AngularJS_Application/index.html,AngularJS Application,AngularJS Application,CAST_AngularJS_Application,1
595,CustomersDetailsCtrl,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersDetailsCtrl.js/CAST_AngularJS_Controller/CustomersDetailsCtrl.CustomersDetailsCtrl,AngularJS Controller,AngularJS Controller,CAST_AngularJS_Controller,1
596,setForm,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersDetailsCtrl.js/CAST_AngularJS_Controller/CustomersDetailsCtrl.CustomersDetailsCtrl/CAST_AngularJS_ModelFunction/setForm,AngularJS Model function,AngularJS Model function,CAST_AngularJS_ModelFunction,1
