caller_id,called_id,link_type
8706,8712,Call
8708,1310,Call
8708,1311,Call
8708,1312,Call
8708,1313,Call
8708,1314,Call
8708,8296,Call
8708,8297,Call
8708,8298,Call
8708,8299,Call
8708,8300,Call
8708,8704,Call
8708,8707,Call
8710,8709,Call
8710,8712,Call
8711,8706,Call
8711,8708,Call
8711,8710,Call
8714,8713,Call
8716,8714,Call
8718,1334,Call
8718,8716,Call
8718,8717,Call
8719,8718,Call
8721,8720,Call
8723,8721,Call
8725,1334,Call
8725,8723,Call
8725,8724,Call
8726,8725,Call
8728,8727,Call
8730,8728,Call
8732,1334,Call
8732,8730,Call
8732,8731,Call
8733,8732,Call
8735,8734,Call
8737,8735,Call
8739,1334,Call
8739,8737,Call
8739,8738,Call
8740,8739,Call
8742,8741,Call
8744,8742,Call
8746,8744,Call
8746,8745,Call
8748,8744,Call
8748,8747,Call
8750,8744,Call
8750,8749,Call
8752,8746,Call
8752,8748,Call
8752,8750,Call
8752,8751,Call
8753,8752,Call
8755,8754,Call
8757,8755,Call
8759,8757,Call
8759,8758,Call
8761,8757,Call
8761,8760,Call
8763,8757,Call
8763,8762,Call
8765,8759,Call
8765,8761,Call
8765,8763,Call
8765,8764,Call
8766,8765,Call
8768,8767,Call
8770,8768,Call
8772,8770,Call
8772,8771,Call
8774,8770,Call
8774,8773,Call
8776,8770,Call
8776,8775,Call
8778,8772,Call
8778,8774,Call
8778,8776,Call
8778,8777,Call
8779,8778,Call
8781,8780,Call
8783,8781,Call
8785,8783,Call
8785,8784,Call
8787,8783,Call
8787,8786,Call
8789,8783,Call
8789,8788,Call
8791,8785,Call
8791,8787,Call
8791,8789,Call
8791,8790,Call
8792,8791,Call
8794,8793,Call
8796,8794,Call
8798,8796,Call
8798,8797,Call
8800,8796,Call
8800,8799,Call
8802,8796,Call
8802,8801,Call
8804,8798,Call
8804,8800,Call
8804,8802,Call
8804,8803,Call
8805,8804,Call
8807,8806,Call
8809,8807,Call
8811,8809,Call
8811,8810,Call
8813,8809,Call
8813,8812,Call
8815,8809,Call
8815,8814,Call
8817,8811,Call
8817,8813,Call
8817,8815,Call
8817,8816,Call
8818,8817,Call
8820,8819,Call
8822,8820,Call
8824,8822,Call
8824,8823,Call
8826,8822,Call
8826,8825,Call
8828,8822,Call
8828,8827,Call
8830,8824,Call
8830,8826,Call
8830,8828,Call
8830,8829,Call
8831,8830,Call
8833,8832,Call
8835,8833,Call
8835,8834,Call
8836,1320,Call
8836,8835,Call
8837,1320,Call
8837,8835,Call
8837,8836,Call
8838,8836,Call
8838,8837,Call
8840,8839,Call
8842,8841,Call
8844,8840,Call
8844,8842,Call
8844,8843,Call
8847,8846,Call
8849,8847,Call
8849,8851,Call
8851,8850,Call
8851,8857,Call
8853,1316,Call
8853,8849,Call
8853,8852,Call
8855,8854,Call
8855,8857,Call
8856,8851,Call
8856,8853,Call
8856,8855,Call
8859,8858,Call
8861,8859,Call
8863,8861,Call
8863,8862,Call
8863,8866,Call
8864,8861,Call
8864,8863,Call
8864,8866,Call
8868,8867,Call
8870,8868,Call
8870,8869,Call
8871,1334,Call
8871,8870,Call
8872,1334,Call
8872,8870,Call
8872,8871,Call
8873,8871,Call
8873,8872,Call
8875,8874,Call
8877,8875,Call
8879,8877,Call
8879,8878,Call
8881,8877,Call
8881,8880,Call
8883,8877,Call
8883,8882,Call
8885,8879,Call
8885,8881,Call
8885,8883,Call
8885,8884,Call
8886,8885,Call
8889,8888,Call
8891,8889,Call
8893,8891,Call
8893,8892,Call
8895,8891,Call
8895,8894,Call
8897,8891,Call
8897,8896,Call
8899,8893,Call
8899,8895,Call
8899,8897,Call
8899,8898,Call
8900,8899,Call
8902,8903,Call
8902,8904,Call
8902,8905,Call
8906,8910,Call
8907,8906,Call
8907,8910,Call
8908,8907,Call
8908,8909,Call
8913,8914,Call
8916,8915,Call
8918,8916,Call
8918,8917,Call
8919,8918,Call
8920,8918,Call
8920,8919,Call
8921,8918,Call
8921,8920,Call
8922,8919,Call
8922,8920,Call
8922,8921,Call
8924,8923,Call
8926,8924,Call
8926,8925,Call
8927,8926,Call
8928,8926,Call
8928,8927,Call
8929,8926,Call
8929,8928,Call
8930,8927,Call
8930,8928,Call
8930,8929,Call
8932,8931,Call
8934,8932,Call
8938,8937,Call
8940,8938,Call
8943,8942,Call
8945,8943,Call
8947,8946,Call
8949,8947,Call
8949,8948,Call
8950,1415,Call
8950,8949,Call
8951,8950,Call
8953,8952,Call
8955,8953,Call
8957,8955,Call
8957,8956,Call
8959,8955,Call
8959,8958,Call
8961,8955,Call
8961,8960,Call
8963,8957,Call
8963,8959,Call
8963,8961,Call
8963,8962,Call
8964,8963,Call
8967,8966,Call
8969,8967,Call
8971,8969,Call
8971,8970,Call
8973,8969,Call
8973,8972,Call
8975,8969,Call
8975,8974,Call
8977,8971,Call
8977,8973,Call
8977,8975,Call
8977,8976,Call
8978,8977,Call
8981,8980,Call
8983,8981,Call
8983,8982,Call
8984,1441,Call
8984,8983,Call
8985,1441,Call
8985,8983,Call
8985,8984,Call
8986,8984,Call
8986,8985,Call
8988,8987,Call
8990,8988,Call
8992,8990,Call
8992,8991,Call
8994,8990,Call
8994,8993,Call
8996,8990,Call
8996,8995,Call
8998,8992,Call
8998,8994,Call
8998,8996,Call
8998,8997,Call
8999,8998,Call
9002,9001,Call
9004,9002,Call
9006,9004,Call
9006,9005,Call
9008,9004,Call
9008,9007,Call
9010,9004,Call
9010,9009,Call
9012,9006,Call
9012,9008,Call
9012,9010,Call
9012,9011,Call
9013,9012,Call
9015,9014,Call
9017,9015,Call
9019,9017,Call
9019,9018,Call
9021,9017,Call
9021,9020,Call
9023,9017,Call
9023,9022,Call
9025,9019,Call
9025,9021,Call
9025,9023,Call
9025,9024,Call
9026,9025,Call
9028,9027,Call
9030,9028,Call
9032,9030,Call
9032,9031,Call
9034,9030,Call
9034,9033,Call
9036,9030,Call
9036,9035,Call
9038,9032,Call
9038,9034,Call
9038,9036,Call
9038,9037,Call
9039,9038,Call
9041,9040,Call
9043,9041,Call
9045,9043,Call
9045,9044,Call
9047,9043,Call
9047,9046,Call
9049,9043,Call
9049,9048,Call
9051,9045,Call
9051,9047,Call
9051,9049,Call
9051,9050,Call
9052,9051,Call
9054,9053,Call
9056,9054,Call
9058,9056,Call
9058,9057,Call
9060,9056,Call
9060,9059,Call
9062,9056,Call
9062,9061,Call
9064,9058,Call
9064,9060,Call
9064,9062,Call
9064,9063,Call
9065,9064,Call
9067,9066,Call
9069,9067,Call
9071,9069,Call
9071,9070,Call
9073,9069,Call
9073,9072,Call
9075,9069,Call
9075,9074,Call
9077,9071,Call
9077,9073,Call
9077,9075,Call
9077,9076,Call
9078,9077,Call
9080,9079,Call
9082,9080,Call
9084,9082,Call
9084,9083,Call
9086,9082,Call
9086,9085,Call
9088,9082,Call
9088,9087,Call
9090,9084,Call
9090,9086,Call
9090,9088,Call
9090,9089,Call
9091,9090,Call
9093,9092,Call
9095,9093,Call
9097,9095,Call
9097,9096,Call
9099,9095,Call
9099,9098,Call
9101,9095,Call
9101,9100,Call
9103,9097,Call
9103,9099,Call
9103,9101,Call
9103,9102,Call
9104,9103,Call
9106,9105,Call
9108,9106,Call
9110,9108,Call
9110,9109,Call
9112,9108,Call
9112,9111,Call
9114,9108,Call
9114,9113,Call
9116,9110,Call
9116,9112,Call
9116,9114,Call
9116,9115,Call
9117,9116,Call
9119,9118,Call
9121,9119,Call
9123,9121,Call
9123,9122,Call
9125,9121,Call
9125,9124,Call
9127,9121,Call
9127,9126,Call
9129,9123,Call
9129,9125,Call
9129,9127,Call
9129,9128,Call
9130,9129,Call
9132,9131,Call
9134,9132,Call
9136,9134,Call
9136,9135,Call
9138,9134,Call
9138,9137,Call
9140,9134,Call
9140,9139,Call
9142,9136,Call
9142,9138,Call
9142,9140,Call
9142,9141,Call
9143,9142,Call
9145,9144,Call
9147,9145,Call
9149,9147,Call
9149,9148,Call
9151,9147,Call
9151,9150,Call
9153,9147,Call
9153,9152,Call
9155,9149,Call
9155,9151,Call
9155,9153,Call
9155,9154,Call
9156,9155,Call
9158,9157,Call
9160,9158,Call
9162,9160,Call
9162,9161,Call
9164,9160,Call
9164,9163,Call
9166,9160,Call
9166,9165,Call
9168,9162,Call
9168,9164,Call
9168,9166,Call
9168,9167,Call
9169,9168,Call
9171,9170,Call
9173,9171,Call
9175,9173,Call
9175,9174,Call
9177,9173,Call
9177,9176,Call
9179,9173,Call
9179,9178,Call
9181,9175,Call
9181,9177,Call
9181,9179,Call
9181,9180,Call
9182,9181,Call
9184,9183,Call
9186,9184,Call
9188,9186,Call
9188,9187,Call
9190,9186,Call
9190,9189,Call
9192,9186,Call
9192,9191,Call
9194,9188,Call
9194,9190,Call
9194,9192,Call
9194,9193,Call
9195,9194,Call
9197,9196,Call
9199,9197,Call
9201,9199,Call
9201,9200,Call
9203,9199,Call
9203,9202,Call
9205,9199,Call
9205,9204,Call
9207,9201,Call
9207,9203,Call
9207,9205,Call
9207,9206,Call
9208,9207,Call
9210,9209,Call
9212,9210,Call
9214,9212,Call
9214,9213,Call
9216,9212,Call
9216,9215,Call
9218,9212,Call
9218,9217,Call
9220,9214,Call
9220,9216,Call
9220,9218,Call
9220,9219,Call
9221,9220,Call
9223,9222,Call
9225,9223,Call
9227,9225,Call
9227,9226,Call
9229,9225,Call
9229,9228,Call
9231,9225,Call
9231,9230,Call
9233,9227,Call
9233,9229,Call
9233,9231,Call
9233,9232,Call
9234,9233,Call
9236,9235,Call
9238,9236,Call
9240,9238,Call
9240,9239,Call
9242,9238,Call
9242,9241,Call
9244,9238,Call
9244,9243,Call
9246,9240,Call
9246,9242,Call
9246,9244,Call
9246,9245,Call
9247,9246,Call
9249,9248,Call
9251,9249,Call
9253,9251,Call
9253,9252,Call
9255,9251,Call
9255,9254,Call
9257,9251,Call
9257,9256,Call
9259,9253,Call
9259,9255,Call
9259,9257,Call
9259,9258,Call
9260,9259,Call
9262,9261,Call
9264,9262,Call
9266,9264,Call
9266,9265,Call
9268,9264,Call
9268,9267,Call
9270,9264,Call
9270,9269,Call
9272,9266,Call
9272,9268,Call
9272,9270,Call
9272,9271,Call
9273,9272,Call
9275,9274,Call
9277,9275,Call
9279,9277,Call
9279,9278,Call
9281,9277,Call
9281,9280,Call
9283,9277,Call
9283,9282,Call
9285,9279,Call
9285,9281,Call
9285,9283,Call
9285,9284,Call
9286,9285,Call
9288,9287,Call
9290,9288,Call
9292,9290,Call
9292,9291,Call
9294,9290,Call
9294,9293,Call
9296,9290,Call
9296,9295,Call
9298,9292,Call
9298,9294,Call
9298,9296,Call
9298,9297,Call
9299,9298,Call
9301,9300,Call
9303,9301,Call
9305,9303,Call
9305,9304,Call
9307,9303,Call
9307,9306,Call
9309,9303,Call
9309,9308,Call
9311,9305,Call
9311,9307,Call
9311,9309,Call
9311,9310,Call
9312,9311,Call
9314,9313,Call
9316,9314,Call
9318,9316,Call
9318,9317,Call
9320,9316,Call
9320,9319,Call
9322,9316,Call
9322,9321,Call
9324,9318,Call
9324,9320,Call
9324,9322,Call
9324,9323,Call
9325,9324,Call
9327,9326,Call
9329,9327,Call
9331,9329,Call
9331,9330,Call
9333,9329,Call
9333,9332,Call
9335,9329,Call
9335,9334,Call
9337,9331,Call
9337,9333,Call
9337,9335,Call
9337,9336,Call
9338,9337,Call
9340,9339,Call
9342,9340,Call
9344,9342,Call
9344,9343,Call
9346,9342,Call
9346,9345,Call
9348,9342,Call
9348,9347,Call
9350,9344,Call
9350,9346,Call
9350,9348,Call
